Nome,Sobrenome,Email
João,Silva,joao.silva@exemplo.com  
Maria,Santos,maria.santos@exemplo.com  
Carlos,Pereira,carlos.pereira@exemplo.com  
Ana,Oliveira,ana.oliveira@exemplo.com  
Lucas,Almeida,lucas.almeida@exemplo.com  
Juliana,Costa,juliana.costa@exemplo.com  
Marcos,Rocha,marcos.rocha@exemplo.com  
Fernanda,Lima,fernanda.lima@exemplo.com  
Rafael,Martins,rafael.martins@exemplo.com  
Patrícia,Barbosa,patricia.barbosa@exemplo.com  
Bruno,Carvalho,bruno.carvalho@exemplo.com  
Camila,Ribeiro,camila.ribeiro@exemplo.com  
André,Teixeira,andre.teixeira@exemplo.com  
Aline,Monteiro,aline.monteiro@exemplo.com  
Tiago,Moura,tiago.moura@exemplo.com  
Vanessa,Araújo,vanessa.araujo@exemplo.com  
Diego,Freitas,diego.freitas@exemplo.com  
Larissa,Cardoso,larissa.cardoso@exemplo.com  
Eduardo,Machado,eduardo.machado@exemplo.com  
Beatriz,Rezende,beatriz.rezende@exemplo.com  
Henrique,Castro,henrique.castro@exemplo.com  
Tatiane,Gomes,tatiane.gomes@exemplo.com  
Felipe,Bernardes,felipe.bernardes@exemplo.com  
Natália,Andrade,natalia.andrade@exemplo.com  
Rodrigo,Fernandes,rodrigo.fernandes@exemplo.com  
Priscila,Ramos,priscila.ramos@exemplo.com  
Gabriel,Souza,gabriel.souza@exemplo.com  
Érica,Correia,erica.correia@exemplo.com  
Leandro,Dias,leandro.dias@exemplo.com  
Simone,Nascimento,simone.nascimento@exemplo.com  
